salary_id,ids_num,year,author,level,title
,SCI,2010,吴建华,三大检索（仅供认领作者选择）,IMAGE ENCRYPTION BASED ON THE MULTIPLE-ORDER DISCRETE FRACTIONAL COSINE TRANSFORM
,ISTP,2010,龙伟,"国际会议文集,国际会议文集",Monitoring System of Silkworm Incubation Based on predictive Compensation with Gain Self-Adaptive
,ISTP,2010,程结晶,三大检索（仅供认领作者选择）,Research on Digital Resources Directory Services System
,ISTP,2010,李迟生,三大检索（仅供认领作者选择）,A New Multi-Modulus Blind Equalization Algorithm for QAM Signals
,ISTP,2010,龙伟,三大检索（仅供认领作者选择）,Development & Application of Reactive Power Optimization Software for Regional Power Network
,EI,2010,卢淋芗,三大检索（仅供认领作者选择）,Fault Diagnosis of Ball Bearing Bearing on Energy Feature and Research of Intelligent Classification Method
,EI,2010,黄劭刚,三大检索（仅供认领作者选择）,Study on doubly-fed hybrid poles permanent magnet synchronous machine
,EI,2010,黄劭刚,三大检索（仅供认领作者选择）,Research on voltage regulator in brushless double-fed hybrid poles permanent generator
,EI,2010,黄劭刚,三大检索（仅供认领作者选择）,Research on field regulation range of synchronous/permanent magnet hybrid motor
,EI,2010,杨选辉,三大检索（仅供认领作者选择）,The operation mode analysis and optimizer platform of Pinke website
,,2010,杨选辉,国际会议文集,The operation mode analysis and optimizer platform of Pinke website
,EI,2010,虞贵财,三大检索（仅供认领作者选择）,Research on Spectrum Detection Algorithms Based on Data Fusion in Cognitive Radio Systems
,EI,2010,夏瑞华,三大检索（仅供认领作者选择）,An Image Segmentation Method for Quasi-circular Immune Cell
,EI,2010,曾雪强,三大检索（仅供认领作者选择）,Gene Selection by Using an Improved Fast Correlation-Based Filter
,EI,2010,周南润,三大检索（仅供认领作者选择）,New concurrent digital signature scheme based on the computational Diffie-Hellman problem
,,2010,刘晔,三大检索（仅供认领作者选择）,research on TDOA measurement of active RFID real time location system
,,2010,刘晔,三大检索（仅供认领作者选择）,an enhanced location estimation approach based on fingerprinting technique
,,2010,魏庆国,三大检索（仅供认领作者选择）,An unweigted exhaustive diagonalization based multi- class common spatial pattern algorithm in brain-computer interfaces
,,2010,戴文进,国际会议文集,Pre-Distorted Design Method for Coupled Resonator Filter and Multiplexer
,,2010,程结晶,三大检索（仅供认领作者选择）,the theoretical research on digital educational information  resources service system
,,2010,程结晶,三大检索（仅供认领作者选择）,the study on management and serivice of digital archives in web 2.0
,,2010,程结晶,三大检索（仅供认领作者选择）,the study on theories and practices of educational resource service of digital community in jiangxi province
,,2010,程结晶,三大检索（仅供认领作者选择）,the study on the construction of community educational resources in jiangxi province based on the distributed technology
,EI,2010,周明建,三大检索（仅供认领作者选择）,Development of Knowledge Management Based on Task Circumstance
,,2010,周南润,三大检索（仅供认领作者选择）,单通道彩色图像加密方案(EI)
,,2010,赵庆敏,三大检索（仅供认领作者选择）,Shortwave Memory Power Amplifier Linearization Based on Multi-Directional Search Algorithm  Predistorter
,,2010,夏瑞华,三大检索（仅供认领作者选择）,One Kind of Macrophages Images Edge Detection Method
,,2010,陈轶,三大检索（仅供认领作者选择）,Research and Implementation of Multiserving-oriented Mobile Application Based on eLML
,,2010,程结晶,三大检索期刊源,O2.Preliminary Study on the Construction of College Digital Educational Resources Based on Web2.0
,,2010,陈利民,三大检索（仅供认领作者选择）,Symbol Timing and Carrier Frequency United Estimation for MPSK Signals
,,2010,张肃宇,三大检索（仅供认领作者选择）,Intelligent setting method of load-pattems
,,2010,张忠会,三大检索（仅供认领作者选择）,Matlab-based permanent magnet synchronous motor vector control simulation
,,2010,张忠会,三大检索（仅供认领作者选择）,The Research of Fault Location of Transmission Line Based on Bergeron Model
